section,category,templates,routes,Home,Product page — conversion & optimization toolkit,Product page — inference runtime,Chat for Mac (macOS app landing page),Contact / interest form,Local models library,Benchmarks / metrics,About us,Careers,Research / blog index,Research / blog post,Legal (privacy policy / terms of use),404 / not found
shell.navbar,SHELL,13,14,x,x,x,x,x,x,x,x,x,x,x,x,x
shell.footer,SHELL,13,14,x,x,x,x,x,x,x,x,x,x,x,x,x
hero.product,HERO,2,2,,x,x,,,,,,,,,,
hero.page-header-simple,HERO,2,2,,,,,x,x,,,,,,,
proof.bench-strip,PROOF,2,2,,x,x,,,,,,,,,,
proof.model-cards,PROOF,2,2,,x,x,,,,,,,,,,
content.perfect-for,CONTENT,2,2,,x,x,,,,,,,,,,
content.faq,CONTENT,2,2,,x,x,,,,,,,,,,
cta.closing-band,CTA,2,2,,x,x,,,,,,,,,,
content.legal-body,CONTENT,1,2,,,,,,,,,,,,x,
hero.home,HERO,1,1,x,,,,,,,,,,,,
hero.chat-mac,HERO,1,1,,,,x,,,,,,,,,
hero.about,HERO,1,1,,,,,,,,x,,,,,
hero.blog-header,HERO,1,1,,,,,,,,,,x,,,
hero.metrics-header,HERO,1,1,,,,,,,x,,,,,,
hero.page-header-centered,HERO,1,1,,,,,,,,,x,,,,
features.appgrid,FEATURES,1,1,x,,,,,,,,,,,,
features.speed,FEATURES,1,1,x,,,,,,,,,,,,
features.execution-stack,FEATURES,1,1,x,,,,,,,,,,,,
features.cloud-vs-device,FEATURES,1,1,x,,,,,,,,,,,,
features.co-design,FEATURES,1,1,x,,,,,,,,,,,,
features.full-stack,FEATURES,1,1,x,,,,,,,,,,,,
features.toolkit-convert-cards,FEATURES,1,1,,x,,,,,,,,,,,
features.toolkit-pipeline,FEATURES,1,1,,x,,,,,,,,,,,
features.runtime-install-steps,FEATURES,1,1,,,x,,,,,,,,,,
features.runtime-install-matrix,FEATURES,1,1,,,x,,,,,,,,,,
features.runtime-features,FEATURES,1,1,,,x,,,,,,,,,,
features.framed-screenshot,FEATURES,1,1,,,,x,,,,,,,,,
proof.metrics-sidebar-nav,PROOF,1,1,,,,,,,x,,,,,,
proof.metrics-chart-panel,PROOF,1,1,,,,,,,x,,,,,,
proof.metrics-quality-scatter,PROOF,1,1,,,,,,,x,,,,,,
proof.metrics-how-we-measure,PROOF,1,1,,,,,,,x,,,,,,
proof.model-family-list,PROOF,1,1,,,,,,x,,,,,,,
content.about-prose-block,CONTENT,1,1,,,,,,,,x,,,,,
content.about-team-cards,CONTENT,1,1,,,,,,,,x,,,,,
content.about-backer-grid,CONTENT,1,1,,,,,,,,x,,,,,
content.careers-roles-list,CONTENT,1,1,,,,,,,,,x,,,,
content.careers-about-why,CONTENT,1,1,,,,,,,,,x,,,,
content.blog-post-list,CONTENT,1,1,,,,,,,,,,x,,,
content.blog-post-article,CONTENT,1,1,,,,,,,,,,,x,,
content.contact-frame,FORM,1,1,,,,,x,,,,,,,,
content.notfound-body,CONTENT,1,1,,,,,,,,,,,,,x
cta.closing-home,CTA,1,1,x,,,,,,,,,,,,
cta.careers-closing-cta,CTA,1,1,,,,,,,,,x,,,,
ROUTE COUNT,,,14,1,1,1,1,1,1,1,1,1,1,1,2,1
